user_id,username,pp,global_rank
15269436,Lemoncoin,13525.9,412
27762510,-Vixteria-,13517.2,413
8837858,N2Oe-,13511.3,414
30740782,kzqdenix,13507.3,415
13185425,LazyGhost14,13503.4,416
27419503,[quietly],13500.6,418
1433586,butanic,13498.7,419
10466798,Chinako0721,13494.5,420
23312307,Suheer,13487.0,421
23055329,V3lium,13484.5,423
9921804,Truzko,13483.7,423
16562681,Bacon Haniwa,13480.5,424
1020304,NKZoyDkKalBoJun,13479.4,425
11784492,Mich_,13477.3,426
20040064,[LS] akarii,13476.7,427
32026760,SimYtNa,13474.0,428
31125806,Noxmir,13473.0,429
9606325,- Bliss -,13472.9,430
11794749,cycozgrzyt,13472.7,431
22692196,XeOF4,13472.2,432
28861900,Lau william,13466.4,433
25898900,nanoa,13462.8,435
36013752,NTcx,13462.7,435
23441019,HDZZUN,13455.1,436
15772814,Unitori-,13453.8,437
17705451,[LS]Bluestone,13448.5,438
30750250,Kirigaya_Toko,13445.2,439
36299801,DIQIUWEI,13443.0,440
17527822,[Crz]Ranm,13442.4,441
35789950,Carrotdollars,13442.3,442
15100587,Flying Jett,13440.0,443
28246172,baigu678,13438.2,444
22725724,magnifestio,13430.9,445
16192531,origamibest,13430.0,446
33644974,verysilly,13428.4,447
34040907,Sebastian2817,13426.1,448
13347579,LeMarcinho,13425.3,449
22491203,elicccc,13424.3,450
22994710,Elliott0ne,13420.4,451
33184414,Picklez_Osu,13408.2,452
26261249,Magnes99,13407.0,453
25394639,Kyakuz,13404.7,454
15890578,fuzzy1033,13402.8,455
20173583,iLeLv,13400.2,456
14943370,Tomskuu,13394.1,457
19834488,-Wintrie-,13383.9,458
20531318,Balanc3D3mon,13383.8,459
30973748,TS_chiyo,13383.1,460
26594580,IseriFanboy,13382.4,462
11488604,CrewK,13381.9,461
28250042,Lee Chunsik,13381.2,462
25923595,BC1_CI9,13377.6,464
7860283,Summit_,13377.5,464
17242265,ERA Mystiik,13375.3,466
14962017,Makise_c,13373.0,467
34982060,riika,13372.4,468
15843206,Perplexities,13369.7,469
22933961,_Reggie_,13367.5,470
36570108,FoaMelt1,13363.8,471
20541794,[LS]sdkl4,13361.0,472
30952290,- Rocco -,13359.0,474
29944863,nick-haoran,13354.7,474
12871335,Rubydear,13351.3,475
