user_id,elo,username,country
14318312,312.15153025759093,[Crz]Reimu,CN
19762751,312.1330087798427,Vaporization-,CO
32318227,311.29015522610445,djj492,QA
6384643,311.26060764872693,Hidrocarburo,AR
15216030,311.2533748779047,G2t,JP
5919873,311.16540567719983,Xan-,CL
17494164,311.0127366311966,ggeexx1,KR
15267478,310.9835667687862,maykolmejor,CL
31519818,310.9293400861683,[Crz]anfish1013,CN
19664675,310.91918203414656,dumbidot,TR
8243526,310.5118041774656,Gxbran,ID
15269895,310.0782242860297,FREEDOM__,KR
15183087,309.92399523994646,LiangFenFan,CN
29345347,309.54134314877973,unFCable4LIFE,JP
11112775,309.32258299131394,[Mys]Mili,TW
12028216,309.3000597423916,mashu,US
5604329,309.2969092802388,Rio1-,KR
15513303,309.2723951399409,Znow,US
16307557,309.17457963051044,SeraPrime,TH
24144271,309.00869949543704,eiEn_,GB
19910862,308.9717275302082,- Stay -,FR
10728432,308.78910567476083,Kaify,TH
31728201,308.6638236430696,hh27v7,CN
27288518,308.5099265546337,Shizuku-09,CN
18609932,308.4619916379949,wlim,DK
7093698,308.3719338142874,Limber,AR
30438864,308.3569208175843,NightmarishXD,US
31041154,308.1731319312083,Rinsresg,RU
8756421,308.10807400384743,quentin5110054,FR
11029125,308.0516608635452,LoveMySelf,KR
12712916,307.99934925166826,[LS]Khu,RO
18375016,307.7376096750661,chana,CN
14252808,307.669386263392,sushifromasia,US
21852708,307.6444020584896,naetsuka,JP
10906301,307.2202831439607,flashnias,KR
15187174,307.1199760473376,nayeonie bunny,BR
9746485,307.0004275988896,UZIG,CN
28686998,306.99252263256653,NXLLIFICATION,KZ
30790527,306.9893714476078,Databyte,US
32272776,306.9086957854204,[-neko-],KR
12421640,306.7555481262522,trol,IT
19968043,306.69897218500097,southest,CA
18042127,306.34969809017304,[Crz]IsxI,CN
30736084,305.89583431148566,F y S o f t BR,BR
16711124,305.3106843290153,AlexxiTo,CO
9552883,305.2103166102622,Alen-,ES
23059352,305.0462434221193,Excluxid,VN
33067694,304.85185161420776,_yukarineko,TH
16011592,304.6765349509718,banan,TH
12818249,304.38816996946787,IvanOfficial,MY
28547601,304.1655668741156,Shibuya uwu,CO
24972681,303.54760079746774,[GB]THfairy,CN
10336332,303.2892847396402,YuyukoFangirl,VE
20040064,303.2610122568869,[LS] akarii,ID
25586931,303.0994592571165,yran,US
31706494,303.02436373980294,C0mp1ex_,IE
26853124,302.7557146952523,osu mania gamer,RU
31524315,302.74162325956075,MyAngelTlipoca,CN
19141386,302.68953839794995,Pulsing,GB
24058560,302.6788528747887,Neon-Hooray,SG
17898143,302.6054311490384,RayhanDelanova,ID
18483399,302.3832054801627,CaptainLan,CN
23299675,302.0737609564732,Monpluk,TH
23609936,301.59499978413777,jianawesome22,PH
14138696,300.99648189567364,IcyFr05ty,SG
7960969,300.9805722553472,2ky,KR
17851478,300.817143016183,-Yubi-,ID
16441559,300.66261431991404,xBlazemlg,SE
13382147,300.4998995564064,[-Leon-],MY
13941662,300.2237822105899,Domajnyk Pear,CZ
17310024,300.0184159650772,ilovebloonssss,GB
13470043,299.8399627072681,Acestrol,PH
22202849,298.7258029716504,F_Scarlet,KR
36430557,298.67707022986275,BANG3R,KR
11794749,298.5210959403874,cycozgrzyt,PL
13370677,298.44073171052634,Blue Noah,CN
16118849,298.1812189860115,cartografiar,ES
23870404,298.1351059432084,Oldgigios,IT
12054898,297.9668410292191,[MY]Sol,MY
7199159,297.71358492052104,ByeForNow,SG
29099335,297.16997765610506,KevinAP1,BR
33800340,297.00375442836787,vivekanand,TT
28861900,296.9181045674105,Lau william,MY
35458499,296.7549055365114,zinkotripas,PE
15711419,296.71171451329434,thatguyalpha,BG
12664851,296.64287447126947,Kamikho,PE
10132430,296.5398001535309,NKEYBOARD,KR
29511549,296.3860891623934,tosurashgame,KR
10235085,296.05742599177654,Asuma Toki,CL
29832985,295.41217269271544,deepcoma,JP
28635826,295.36277683251046,dlekghajtwla,KR
33644974,295.2015758541778,verysilly,US
21370782,294.606674634122,Speedom,PH
7143444,294.5465830147889,[Paw]Komane_63,CN
16296036,294.5132154800771,IWateh,MX
30603618,294.22755436617643,insidus,VE
14075567,293.7619287789383,bad LN player,US
25263357,293.4647063566314,rikan,IT
17103236,293.388197551968,TigerWasTaken,PH
16954929,293.25740802317443,staynoidedd,AU
15992822,292.7442193898713,kavgT215,TW
11817815,292.7292250927148,[Crz]Envy,GB
16999311,292.70594784395735,Quinnie why,NL
16119061,292.1364048926342,Zembonics,CA
8935682,291.88026697727923,almond,US
