player_id,elo_score,rank_4k,final_rank,country,username,final_rank_percentile
34523998,-232.02869225107017,4932,5607.0,CN,CanRuoFanXing,0.35696260610231706
34097063,-140.76430938671956,5215,5608.0,TW,1wiswj2b,0.35684790089470064
7620652,160.22189465027944,6149,5609.0,CN,Superoverclock,0.35673319568708417
28849296,-201.9778445114524,5028,5610.0,CZ,kojodat,0.35661849047946775
11253321,-252.8678188698657,4872,5611.0,CN,narkisim,0.35650378527185134
19413213,-38.8487148681286,5537,5612.0,TH,Kamunomi,0.3563890800642349
13746148,27.519919023085468,5743,5613.0,FI,Aatumar,0.3562743748566185
138866,55.632701164923965,8898,5614.0,PT,Rodrig0v,0.3561596696490021
16551111,-51.05306185182794,5501,5615.0,KR,shebal game,0.3560449644413856
36875186,-52.65220310265729,5497,5616.0,TH,nonoonna,0.3559302592337692
23599377,147.47515421148316,6118,5617.0,US,HitTheCrit,0.3558155540261528
24287308,-139.40980387950287,5230,5618.0,CN,4StcHyL,0.35570084881853636
23874580,-109.4175037392026,5323,5619.0,US,kinectlucas,0.35558614361091995
15174223,6.996780618900887,5684,5620.0,CA,[LS]Byte,0.35547143840330353
23588340,75.25050658786499,5896,5621.0,SG,Allowinkle,0.35535673319568706
35058080,-194.9341266725011,5059,5622.0,RU,femboyloy,0.35524202798807064
5235218,-209.5121245337649,5014,5623.0,NO,[RS] Freddy,0.3551273227804542
36963390,116.31788643722491,6024,5624.0,CN,AmanoTooko,0.3550126175728378
31492594,-152.83305493362548,5190,5625.0,US,Myune,0.3548979123652214
34224364,-212.08439900947388,5008,5626.0,VN,Bread[Osu],0.354783207157605
7081478,164.18446388220372,6177,5627.0,US,[GS]Teo,0.35466850194998856
8035811,45.4112112018021,8833,5628.0,KR,Nara_S2,0.3545537967423721
37348773,82.17027486778821,5924,5629.0,US,deathlock,0.35443909153475567
25736847,-41.34247243685296,5542,5630.0,ES,Zuri-kun,0.35432438632713925
31335194,-210.45502066529448,5018,5631.0,CN,kokoko,0.35420968111952283
37400561,-107.28575112265035,5339,5632.0,NZ,laimo231,0.3540949759119064
34132402,-130.95270664636993,5266,5633.0,RU,valanikawaiii,0.35398027070429
25509665,-50.97274887231562,5514,5634.0,ES,Notbaconpro,0.35386556549667353
34401513,-46.46854870771645,5531,5635.0,US,zanshin15,0.3537508602890571
21595980,-104.42900556969605,5352,5636.0,HK,geektyper257,0.3536361550814407
25319064,-85.25832517024885,5412,5637.0,KZ,sfsiko,0.3535214498738243
36856011,64.97308767508169,5878,5638.0,CL,PiterGSgaming6m,0.35340674466620786
23856368,-218.65399569322312,4999,5639.0,GB,CalmStarlights,0.35329203945859144
7719449,-86.46862167682526,5413,5640.0,CN,CherryG,0.353177334250975
14298628,-137.34177325610818,5256,5641.0,KR,muileeds,0.35306262904335856
32657487,98.7620330598798,5989,5642.0,RU,Geazxct,0.35294792383574214
8832989,112.25796486827385,6031,5643.0,AU,[Crz]Yukikaze-,0.3528332186281257
36500777,-77.43772525350069,5444,5644.0,BE,777777777776,0.3527185134205093
21328058,-144.7889879929349,5239,5645.0,RO,Bete Noire,0.3526038082128929
37025649,-180.48782901084508,5129,5646.0,US,CookiesNCream,0.3524891030052764
